User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user290,Product4,Initiated,,"Jul 30, 2022 04:00 pm","Jul 30, 2022",Direct,2022,,INR,
user291,Product5,paid,,"Jul 30, 2022 03:52 pm","Jul 30, 2022",Direct,1999,card,INR,NA
user293,Product8,Initiated,,"Jul 30, 2022 03:02 pm","Jul 30, 2022",Influencer,1499,,INR,
user294,Product4,Initiated,,"Jul 30, 2022 02:59 pm","Jul 30, 2022",Direct,2022,,INR,
user251,Product3,Initiated,,"Jul 30, 2022 02:17 pm","Jul 30, 2022",Direct,1999,,INR,
user297,Product1,Initiated,Coupon3,"Jul 30, 2022 02:05 pm","Jul 30, 2022",Direct,2399,,INR,
user297,Product1,Initiated,Coupon3,"Jul 30, 2022 02:05 pm","Jul 30, 2022",Direct,2399,,INR,
user298,Product18,Initiated,,"Jul 30, 2022 01:57 pm","Jul 30, 2022",Direct,1999,,INR,
user304,Product4,paid,,"Jul 30, 2022 04:47 pm","Jul 30, 2022",Direct,2022,upi,INR,NA
user306,Product5,Initiated,,"Jul 30, 2022 04:08 pm","Jul 30, 2022",Direct,1999,,INR,
user307,Product4,Initiated,,"Jul 30, 2022 03:54 pm","Jul 30, 2022",Direct,2022,,INR,
user308,Product28,Initiated,,"Jul 30, 2022 03:22 pm","Jul 30, 2022",Direct,2999,,INR,
user309,Product8,Initiated,,"Jul 30, 2022 02:58 pm","Jul 30, 2022",Direct,1499,,INR,
user297,Product1,Initiated,Coupon3,"Jul 30, 2022 02:05 pm","Jul 30, 2022",Direct,2399,,INR,
user317,Product6,Initiated,,"Jul 30, 2022 12:17 pm","Jul 30, 2022",Direct,899,,INR,
user317,Product6,Initiated,,"Jul 30, 2022 12:16 pm","Jul 30, 2022",Direct,899,,INR,
user318,Product8,Initiated,,"Jul 30, 2022 12:07 pm","Jul 30, 2022",Influencer,1499,,INR,
user319,Product10,Initiated,,"Jul 30, 2022 12:01 pm","Jul 30, 2022",Direct,999,,INR,
user321,Product4,Initiated,,"Jul 30, 2022 05:08 pm","Jul 30, 2022",Direct,2022,,INR,
user322,Product4,Initiated,,"Jul 30, 2022 04:51 pm","Jul 30, 2022",Direct,2022,,INR,
user323,Product29,Initiated,,"Jul 30, 2022 04:45 pm","Jul 30, 2022",Direct,1499,,INR,
user324,Product6,Initiated,,"Jul 30, 2022 04:42 pm","Jul 30, 2022",Direct,899,,INR,
user328,Product25,Initiated,,"Jul 30, 2022 02:39 pm","Jul 30, 2022",Direct,1499,,INR,
user297,Product1,Initiated,Coupon3,"Jul 30, 2022 02:06 pm","Jul 30, 2022",Direct,2399,,INR,
user332,Product30,Initiated,,"Jul 30, 2022 01:26 pm","Jul 30, 2022",Direct,499,,INR,
user338,Product9,Initiated,,"Jul 30, 2022 12:45 pm","Jul 30, 2022",Direct,999,,INR,
user339,Product5,Initiated,,"Jul 30, 2022 12:41 pm","Jul 30, 2022",Direct,1999,,INR,
user341,Product8,Initiated,,"Jul 30, 2022 12:12 pm","Jul 30, 2022",Influencer,1499,,INR,
user317,Product6,Initiated,,"Jul 30, 2022 12:17 pm","Jul 30, 2022",Direct,899,,INR,
user342,Product9,paid,,"Jul 30, 2022 12:10 pm","Jul 30, 2022",Direct,999,upi,INR,NA
user343,Product4,Initiated,,"Jul 30, 2022 12:09 pm","Jul 30, 2022",Direct,2022,,INR,
user319,Product10,Initiated,,"Jul 30, 2022 12:06 pm","Jul 30, 2022",Direct,999,,INR,
user345,Product1,Initiated,,"Jul 30, 2022 11:26 am","Jul 30, 2022",Paid,3999,,INR,
user346,Product3,Initiated,,"Jul 30, 2022 11:06 am","Jul 30, 2022",Direct,1999,,INR,
user347,Product3,Initiated,,"Jul 30, 2022 11:00 am","Jul 30, 2022",Direct,1999,,INR,
user348,Product4,Initiated,,"Jul 30, 2022 10:52 am","Jul 30, 2022",Direct,2022,,INR,
user350,Product4,Initiated,,"Jul 30, 2022 10:34 am","Jul 30, 2022",Direct,2022,,INR,
user352,Product24,paid,,"Jul 30, 2022 10:04 am","Jul 30, 2022",Direct,666,upi,INR,NA
user352,Product24,Initiated,,"Jul 30, 2022 10:04 am","Jul 30, 2022",Direct,666,,INR,
user353,Product1,Initiated,,"Jul 30, 2022 10:02 am","Jul 30, 2022",Direct,3999,,INR,
user355,Product4,paid,,"Jul 30, 2022 08:42 am","Jul 30, 2022",Direct,2022,upi,INR,NA
user356,Product31,Initiated,,"Jul 30, 2022 07:36 am","Jul 30, 2022",Direct,1499,,INR,
user357,Product32,paid,,"Jul 30, 2022 06:46 am","Jul 30, 2022",Direct,1499,upi,INR,NA
user360,Product4,paid,,"Jul 30, 2022 04:00 am","Jul 29, 2022",Direct,2022,upi,INR,NA
user361,Product6,Initiated,,"Jul 30, 2022 02:23 am","Jul 29, 2022",Direct,899,,INR,
user363,Product28,Initiated,,"Jul 30, 2022 11:37 am","Jul 30, 2022",Direct,2999,,INR,
user364,Product8,Initiated,,"Jul 30, 2022 11:34 am","Jul 30, 2022",Influencer,1499,,INR,
user364,Product8,Initiated,,"Jul 30, 2022 11:27 am","Jul 30, 2022",Influencer,1499,,INR,
user365,Product9,Initiated,,"Jul 30, 2022 11:17 am","Jul 30, 2022",Direct,999,,INR,
user366,Product4,Initiated,,"Jul 30, 2022 11:14 am","Jul 30, 2022",Direct,2022,,INR,
user367,Product3,Initiated,,"Jul 30, 2022 11:02 am","Jul 30, 2022",Direct,1999,,INR,
user371,Product8,Initiated,,"Jul 30, 2022 10:10 am","Jul 30, 2022",Influencer,1499,,INR,
user353,Product1,paid,,"Jul 30, 2022 10:09 am","Jul 30, 2022",Direct,3999,upi,INR,NA
user352,Product24,Initiated,,"Jul 30, 2022 10:04 am","Jul 30, 2022",Direct,666,,INR,
user372,Product2,paid,,"Jul 30, 2022 10:03 am","Jul 30, 2022",Direct,999,upi,INR,NA
user374,Product17,Initiated,,"Jul 30, 2022 08:57 am","Jul 30, 2022",Direct,79,,USD,
user376,Product4,Initiated,,"Jul 30, 2022 08:18 am","Jul 30, 2022",Direct,2022,,INR,
user356,Product31,Initiated,,"Jul 30, 2022 07:35 am","Jul 30, 2022",Direct,1499,,INR,
